Customer_ID,Recency,Frequency,Monetary,Items_Purchased
70,10,48,217,"Oats, Cereal, Nuts, Croissant, Chips, Tea"
71,27,42,486,"Spinach, Soda"
72,21,27,265,"Beef, Apple, Bread"
73,20,15,403,"Bread, Fish, Grapes"
74,29,21,84,"Beef, Cake, Coffee, Milk, Chicken"
75,28,16,495,"Butter, Bagel, Milk, Cheese, Coffee"
76,12,27,244,"Croissant, Broccoli, Tea"
77,19,47,485,"Milk, Beef, Oats, Cereal, Yogurt, Broccoli"
78,7,21,173,"Croissant, Apple, Coffee, Cereal"
79,23,18,89,"Rice, Pork, Croissant, Tea, Soda, Grapes"
80,3,5,12,"Grapes, Yogurt, Broccoli"
81,2,37,388,"Bagel, Milk, Pork, Butter, Yogurt, Broccoli"
82,22,24,289,"Cake, Pork, Tea, Milk"
83,8,8,269,"Butter, Orange, Fish"
84,25,33,179,"Tea, Crackers, Tomato, Orange, Chicken"
85,10,44,341,"Oats, Soda"
86,3,4,371,"Orange, Cake"
87,28,12,161,"Crackers, Bread, Cookies, Bagel"
88,8,15,252,"Croissant, Cheese, Tea, Juice"
89,28,34,468,"Cookies, Juice, Fish, Tea, Spinach"
90,4,3,158,"Tomato, Juice, Rice, Yogurt, Coffee, Grapes"
91,13,26,493,"Carrot, Bread, Milk, Tea"
92,9,5,396,"Chips, Tea, Chicken"
93,15,30,303,"Cereal, Bread, Bagel, Fish, Broccoli"
94,21,19,351,"Croissant, Chips, Coffee"
95,27,50,85,"Chicken, Crackers, Chips"
96,12,20,419,"Fish, Cereal, Pork, Cookies, Coffee"
97,6,21,299,"Chicken, Pork, Oats"
98,12,6,383,"Oats, Broccoli, Cereal, Pork, Bagel, Apple"
99,12,36,474,"Pork, Orange"
100,7,30,482,"Grapes, Nuts"
101,22,1,236,"Banana, Butter"
102,9,24,183,"Cereal, Coffee, Bagel, Yogurt"
103,23,13,362,"Nuts, Coffee, Tomato, Pasta"
104,30,19,67,"Pork, Grapes, Banana"
105,22,37,384,"Yogurt, Coffee, Bagel"
106,21,20,255,"Chicken, Butter, Fish"
107,3,48,470,"Yogurt, Cake, Bread, Cereal"
108,20,40,30,"Soda, Milk, Bread, Juice, Pasta, Cheese"
109,21,16,81,"Bread, Milk, Pork"
110,6,30,357,"Juice, Cereal, Coffee"
111,18,24,292,"Spinach, Grapes, Banana, Nuts, Soda, Orange"
112,24,38,69,"Tomato, Bagel"
113,8,32,167,"Yogurt, Cheese, Juice"
114,6,50,22,"Soda, Milk, Apple, Pork, Banana, Cookies"
115,15,50,215,"Carrot, Spinach, Orange, Fish, Soda"
116,13,13,326,"Croissant, Chicken, Coffee, Banana"
117,9,47,440,"Yogurt, Orange, Beef, Juice, Bread"
118,30,35,122,"Cereal, Chips, Beef, Chicken, Soda"
119,21,49,238,"Nuts, Fish"
120,23,16,192,"Broccoli, Cake, Bread"
121,18,10,57,"Cookies, Butter, Grapes, Tomato"
122,8,1,177,"Cake, Bread, Banana"
123,22,27,38,"Milk, Chicken, Pasta, Tea, Cake, Broccoli"
124,11,2,321,"Cheese, Grapes, Broccoli"
125,27,15,338,"Cheese, Cereal"
126,25,35,109,"Yogurt, Chips"
127,25,23,308,"Spinach, Milk"
128,2,41,279,"Tomato, Beef, Apple, Chips"
129,8,45,123,"Crackers, Coffee, Cake, Cookies, Pork"
130,27,1,410,"Cake, Carrot, Beef, Chicken, Bread, Milk"
131,2,22,489,"Chicken, Grapes, Tomato, Fish, Rice, Butter"
132,26,1,402,"Soda, Tea, Pasta, Croissant"
133,11,49,152,"Orange, Banana"
134,13,43,110,"Soda, Cookies, Rice"
135,9,25,21,"Cookies, Tomato, Nuts"
136,3,48,52,"Fish, Butter, Rice, Crackers, Chicken, Cookies"
137,7,47,285,"Grapes, Banana, Bread, Tea, Oats"
138,30,20,444,"Milk, Tea"
139,19,7,238,"Croissant, Oats, Cake, Pasta"
140,29,14,356,"Soda, Tomato, Bread, Broccoli"
141,23,34,353,"Nuts, Juice, Cheese, Pasta, Croissant, Crackers"
142,11,16,500,"Carrot, Cereal, Rice, Coffee, Bagel"
143,7,27,54,"Oats, Butter, Juice, Fish, Tea, Apple"
144,21,32,272,"Coffee, Rice, Nuts, Chips, Croissant"
145,16,4,211,"Rice, Carrot, Cheese, Yogurt, Grapes"
146,13,10,109,"Milk, Bread, Fish, Yogurt, Tea, Apple"
147,29,46,261,"Beef, Bread, Orange"
148,30,18,172,"Pasta, Croissant, Crackers, Cake, Juice"
149,21,6,318,"Beef, Fish"
150,15,3,319,"Beef, Cookies, Bread"
151,5,15,271,"Cookies, Oats, Banana, Cereal"
152,9,34,493,"Broccoli, Pasta"
153,5,27,38,"Tea, Cereal"
154,8,45,475,"Banana, Chips, Cheese"
155,24,24,351,"Chicken, Butter, Pasta, Beef, Juice, Rice"
156,18,30,194,"Cereal, Banana, Yogurt, Butter, Fish"
157,18,48,213,"Carrot, Juice, Croissant, Tea"
158,9,6,85,"Broccoli, Beef"
159,24,38,376,"Spinach, Rice"
160,19,7,447,"Banana, Carrot, Juice, Yogurt, Croissant"
161,14,33,228,"Cookies, Spinach, Soda, Apple, Crackers"
162,29,9,199,"Cereal, Soda, Fish, Crackers, Chicken"
163,19,41,207,"Apple, Bread"
164,13,26,200,"Tea, Soda, Cookies, Pork, Nuts, Fish"
165,12,5,16,"Milk, Tea, Pasta, Oats"
166,8,38,155,"Bagel, Pork, Carrot, Milk"
167,5,37,186,"Coffee, Rice, Cake, Cheese, Banana"
168,17,4,189,"Pork, Soda, Chicken"
169,16,28,167,"Crackers, Banana, Apple"
170,3,43,238,"Milk, Juice, Pork, Cereal, Oats, Tea"
171,25,9,457,"Bagel, Oats, Pasta, Pork"
172,2,16,297,"Crackers, Fish, Cookies, Bagel, Juice"
173,28,19,54,"Fish, Nuts, Juice, Soda, Chicken"
174,4,17,120,"Fish, Tomato, Cake, Croissant"
175,5,21,382,"Croissant, Butter"
176,21,26,464,"Pork, Yogurt, Grapes, Nuts, Chicken, Spinach"
177,6,45,237,"Cake, Chips, Orange, Carrot, Tomato, Beef"
178,26,48,389,"Tomato, Pork"
179,22,21,222,"Orange, Pasta, Chicken"
180,14,21,421,"Apple, Cereal"
181,20,29,236,"Crackers, Pasta"
182,3,18,157,"Beef, Milk, Nuts, Orange, Tomato"
183,13,15,93,"Carrot, Spinach, Pork, Grapes"
184,13,5,422,"Pork, Cheese"
185,20,13,382,"Butter, Tea"
186,15,9,469,"Chips, Cookies, Soda, Fish"
187,17,50,227,"Beef, Apple, Yogurt"
188,9,50,383,"Fish, Bread, Chips, Apple, Nuts, Croissant"
189,18,38,468,"Chips, Soda, Fish, Orange, Cake"
190,28,7,222,"Bagel, Beef, Carrot"
191,1,10,81,"Soda, Cereal, Oats, Cake, Cheese, Fish"
192,22,7,437,"Fish, Milk"
193,24,11,310,"Tea, Milk, Spinach, Crackers, Broccoli, Cheese"
194,4,29,316,"Chicken, Milk, Nuts, Pasta, Bread, Orange"
195,22,30,54,"Juice, Grapes, Orange, Spinach"
196,29,21,83,"Grapes, Chicken, Carrot"
197,18,27,116,"Broccoli, Croissant"
198,25,8,165,"Butter, Cake, Bagel"
199,9,35,253,"Bagel, Cake, Tea, Tomato, Carrot"
200,25,23,454,"Croissant, Bread, Oats"
201,21,50,278,"Banana, Beef, Cake, Oats"
202,11,14,181,"Pork, Bread"
203,4,29,43,"Bread, Banana, Pork, Chicken, Chips"
204,10,20,487,"Soda, Juice, Spinach, Milk, Cheese"
205,14,30,312,"Cookies, Crackers"
206,6,17,397,"Milk, Soda, Carrot, Bagel, Apple"
207,15,8,202,"Butter, Broccoli, Milk, Carrot, Rice, Chicken"
208,1,6,55,"Banana, Nuts, Bagel"
209,24,11,13,"Butter, Chips, Coffee"
210,29,44,219,"Croissant, Coffee, Broccoli"
211,24,20,337,"Cereal, Apple, Croissant, Crackers"
212,9,46,478,"Tomato, Orange, Nuts, Beef, Grapes, Banana"
213,17,45,149,"Beef, Pasta, Cake, Coffee, Croissant, Cereal"
214,25,39,222,"Beef, Cake, Spinach, Soda"
215,6,3,99,"Oats, Fish, Rice"
216,17,14,294,"Broccoli, Chips, Cake, Chicken, Fish"
217,30,21,246,"Crackers, Nuts, Bread"
218,4,10,373,"Soda, Cheese, Carrot, Pork, Tomato"
219,28,6,300,"Crackers, Apple, Milk, Yogurt, Croissant, Beef"
220,21,46,396,"Fish, Juice, Crackers, Grapes"
221,10,16,478,"Banana, Nuts"
222,27,23,80,"Tea, Chips, Bagel, Milk"
223,21,26,112,"Milk, Cookies, Banana, Pasta"
224,17,33,105,"Chips, Rice, Bagel, Broccoli, Cheese, Apple"
225,20,4,436,"Banana, Cake, Broccoli, Bread"
226,7,44,205,"Pork, Cookies, Chicken, Banana, Soda, Oats"
227,5,20,158,"Apple, Yogurt, Oats, Cheese"
228,12,17,293,"Pork, Bagel, Rice, Soda"
229,25,12,261,"Chips, Tomato, Apple, Bagel, Cereal, Milk"
230,6,2,31,"Butter, Milk, Pasta, Tomato"
231,18,26,431,"Beef, Cheese, Cookies"
232,25,29,433,"Bread, Cereal"
233,30,36,164,"Pork, Spinach"
234,17,48,437,"Chips, Crackers, Beef, Croissant"
235,30,36,309,"Chips, Grapes, Spinach, Butter, Apple, Tea"
236,1,16,165,"Oats, Bagel, Nuts, Cake, Butter"
237,20,7,262,"Yogurt, Milk, Coffee"
238,11,30,296,"Chips, Fish"
239,16,7,388,"Soda, Croissant, Apple"
240,1,9,247,"Milk, Yogurt, Carrot, Cheese"
241,4,8,124,"Yogurt, Spinach"
242,30,1,23,"Carrot, Cookies"
243,12,4,415,"Chicken, Coffee, Crackers, Croissant, Bread, Tomato"
244,29,50,11,"Bagel, Coffee, Chips, Tea, Pork"
245,27,15,88,"Bagel, Grapes, Cereal, Oats, Broccoli"
246,26,9,144,"Cereal, Orange, Croissant, Carrot"
247,10,13,163,"Croissant, Crackers, Grapes, Banana"
248,8,26,499,"Bread, Oats"
249,2,24,337,"Banana, Milk"
250,8,44,437,"Pasta, Chicken, Apple"
251,29,41,335,"Cake, Cookies, Banana, Chips, Spinach"
252,19,42,251,"Tea, Cake, Coffee, Orange, Nuts"
253,3,6,73,"Rice, Apple, Beef, Bread, Broccoli"
254,3,38,344,"Soda, Spinach, Cake, Tea, Pasta"
255,24,38,350,"Bagel, Grapes"
256,16,17,467,"Pasta, Juice"
257,27,5,157,"Butter, Cereal, Rice, Crackers"
258,3,2,223,"Bagel, Croissant, Crackers, Fish"
259,25,5,101,"Tea, Beef, Fish"
260,18,13,261,"Cookies, Butter, Orange, Coffee, Juice, Yogurt"
261,25,42,474,"Chicken, Fish"
262,5,29,362,"Tomato, Apple, Beef"
263,5,9,340,"Broccoli, Oats, Fish"
264,22,6,135,"Yogurt, Grapes"
265,16,22,24,"Orange, Bagel"
266,18,8,71,"Cheese, Broccoli"
267,6,3,401,"Bread, Cake, Broccoli"
268,9,30,151,"Beef, Cake, Orange"
269,17,4,262,"Oats, Banana, Soda, Crackers"
270,28,11,44,"Tomato, Milk, Cake, Juice"
271,20,37,316,"Cereal, Nuts, Tea, Fish, Crackers, Bagel"
272,14,28,391,"Chips, Bread, Soda"
273,7,47,195,"Cookies, Pasta, Tea"
274,30,26,307,"Cereal, Fish"
275,18,32,256,"Butter, Juice, Carrot, Bread"
276,25,2,299,"Milk, Crackers, Cereal"
277,24,25,233,"Milk, Grapes, Fish, Bagel, Cereal, Yogurt"
278,23,44,454,"Butter, Tomato"
279,7,28,142,"Soda, Tea, Cake"
280,23,12,331,"Spinach, Cookies"
281,10,23,361,"Oats, Crackers, Carrot, Nuts, Pasta"
282,13,14,253,"Crackers, Spinach"
283,22,12,365,"Cereal, Bagel, Broccoli, Butter"
284,21,18,428,"Pork, Orange, Tea"
285,12,18,71,"Oats, Butter, Grapes, Fish"
286,15,29,201,"Banana, Croissant, Apple, Chicken"
287,29,10,272,"Broccoli, Rice"
288,17,3,385,"Juice, Coffee, Pasta, Cookies, Oats, Soda"
289,15,40,304,"Pork, Broccoli, Spinach, Apple, Cheese"
290,4,40,18,"Cookies, Pork, Spinach, Yogurt, Banana, Beef"
291,8,40,442,"Crackers, Tomato, Bagel, Milk, Oats"
292,8,16,142,"Pasta, Tea, Tomato"
293,3,42,93,"Soda, Tea, Grapes, Cereal, Cheese, Beef"
294,11,19,307,"Milk, Pasta, Cheese, Banana"
295,1,32,39,"Bagel, Yogurt, Oats, Spinach"
296,19,27,84,"Fish, Crackers"
297,18,36,173,"Yogurt, Carrot"
298,8,31,246,"Crackers, Tomato, Tea"
299,19,4,459,"Broccoli, Tea"
300,8,6,364,"Fish, Croissant, Tomato"
301,1,18,79,"Cheese, Cereal, Crackers"
302,3,25,192,"Chicken, Fish, Beef"
303,23,9,93,"Carrot, Spinach"
304,21,27,37,"Spinach, Croissant, Tomato, Banana, Cookies, Soda"
305,2,13,149,"Coffee, Cookies, Chicken, Cake, Oats, Bread"
306,8,42,194,"Apple, Spinach, Croissant, Pasta, Juice"
307,3,34,224,"Fish, Cake, Coffee, Rice, Chips"
308,29,16,335,"Crackers, Orange, Juice, Banana, Cereal, Rice"
309,2,41,476,"Pasta, Butter, Pork, Croissant, Coffee"
310,28,35,499,"Spinach, Beef, Bagel, Tomato, Carrot, Juice"
311,11,2,192,"Tomato, Yogurt, Beef"
312,3,25,34,"Beef, Milk, Pasta"
313,17,46,158,"Pasta, Pork, Butter, Cheese, Oats, Coffee"
314,8,23,159,"Cookies, Cake"
315,9,31,281,"Cereal, Cookies, Yogurt, Bagel"
316,22,35,337,"Yogurt, Crackers, Cake, Carrot, Bread, Broccoli"
317,16,32,489,"Coffee, Orange, Tea, Spinach, Milk"
318,7,23,49,"Apple, Bagel, Bread, Milk, Tea"
319,18,37,273,"Bagel, Carrot, Yogurt, Oats, Cake, Pasta"
320,5,33,109,"Butter, Rice, Beef, Yogurt, Bagel"
321,24,21,402,"Beef, Cereal, Juice, Grapes"
322,30,25,331,"Carrot, Pork, Spinach, Cookies, Orange, Rice"
323,29,18,103,"Bagel, Banana, Bread, Chips, Milk, Croissant"
324,19,12,401,"Grapes, Soda, Apple"
325,19,2,58,"Cereal, Tomato, Cake, Oats, Nuts"
326,16,21,316,"Beef, Chicken, Cake, Pasta"
327,8,39,395,"Fish, Tea, Butter, Tomato, Pasta"
328,26,15,95,"Chicken, Milk"
329,16,2,288,"Spinach, Butter, Chips, Pasta, Cookies, Oats"
330,26,50,175,"Cheese, Crackers, Coffee, Pasta, Broccoli"
331,14,18,456,"Soda, Crackers"
332,7,4,171,"Banana, Juice, Rice, Crackers, Carrot, Apple"
333,4,31,433,"Bread, Croissant, Chips, Oats, Juice, Pasta"
334,4,34,442,"Cookies, Orange, Crackers, Fish, Beef, Bread"
335,22,23,360,"Spinach, Beef, Bread, Cereal"
336,14,50,419,"Cereal, Juice, Carrot, Coffee, Chips"
337,12,38,164,"Crackers, Tomato, Spinach, Pork, Apple, Cheese"
338,14,15,148,"Butter, Soda"
339,14,11,360,"Cake, Oats, Cereal"
340,15,7,367,"Orange, Grapes, Cake, Juice"
341,28,16,362,"Pork, Bread, Yogurt, Carrot, Bagel"
342,24,43,195,"Bread, Rice"
343,2,16,59,"Butter, Juice, Chips, Cake"
344,22,18,283,"Chicken, Coffee, Apple, Carrot, Oats"
345,21,35,306,"Tomato, Orange, Apple, Soda, Fish"
346,21,48,190,"Apple, Cheese, Tomato, Milk, Chips, Cookies"
347,4,4,431,"Banana, Cheese"
348,2,49,83,"Milk, Nuts, Pork"
349,13,15,16,"Bread, Soda, Croissant, Cookies, Nuts, Fish"
350,24,37,80,"Oats, Cake, Pork, Cereal, Tomato, Pasta"
351,11,25,275,"Crackers, Coffee, Bread, Rice, Fish"
352,26,23,154,"Bread, Croissant, Coffee, Spinach, Cake"
353,28,12,200,"Oats, Orange"
354,4,12,408,"Cookies, Butter"
355,8,16,258,"Tomato, Carrot, Chicken"
356,7,38,220,"Bread, Soda, Tomato, Grapes"
357,7,21,184,"Spinach, Apple, Oats, Butter, Broccoli, Crackers"
358,18,48,481,"Cereal, Carrot"
359,15,45,476,"Cheese, Cookies"
360,5,23,93,"Carrot, Apple, Cookies, Yogurt, Coffee"
361,14,38,62,"Cookies, Yogurt, Grapes"
362,6,2,121,"Bread, Cheese, Crackers, Pork, Croissant"
363,9,46,89,"Cereal, Oats, Bread, Coffee, Nuts, Butter"
364,15,45,267,"Cheese, Oats"
365,8,23,123,"Orange, Chips, Juice, Banana, Grapes, Tea"
366,28,37,435,"Butter, Yogurt, Apple"
367,30,37,106,"Chicken, Cookies, Cereal, Nuts, Milk, Broccoli"
368,3,10,417,"Yogurt, Chicken, Coffee, Fish, Bagel"
369,15,37,469,"Bagel, Nuts, Crackers, Apple, Cookies"
370,26,13,296,"Yogurt, Grapes, Orange, Croissant, Milk"
371,28,32,324,"Pork, Cheese, Milk"
372,28,35,363,"Yogurt, Bread, Coffee"
373,18,20,435,"Juice, Tomato, Cheese, Chips, Crackers"
374,4,12,497,"Grapes, Tea, Bread, Spinach, Apple, Oats"
375,2,32,279,"Bread, Carrot"
376,21,3,443,"Banana, Grapes, Crackers, Nuts, Pork, Juice"
377,18,6,282,"Rice, Spinach, Nuts"
378,27,4,374,"Tomato, Fish, Chips, Bagel, Carrot, Coffee"
379,1,15,292,"Cake, Yogurt, Crackers, Pork"
380,3,39,369,"Oats, Coffee, Cheese, Cake, Bread, Pork"
381,30,15,397,"Orange, Tea, Nuts, Broccoli, Cake, Yogurt"
382,25,2,420,"Tea, Cheese, Grapes, Rice"
383,28,34,68,"Bagel, Butter, Oats, Cheese, Broccoli"
384,8,31,223,"Chicken, Spinach, Croissant, Yogurt"
385,6,1,245,"Chicken, Oats, Butter, Rice"
386,14,22,479,"Orange, Banana"
387,16,40,49,"Juice, Fish, Yogurt, Spinach, Cheese"
388,16,13,69,"Crackers, Pasta, Milk, Spinach, Chicken, Soda"
389,7,9,429,"Banana, Butter, Cookies, Fish"
390,28,22,77,"Yogurt, Cake, Chicken, Tomato, Pasta"
391,13,46,482,"Carrot, Soda, Chicken, Pasta, Grapes"
392,29,12,18,"Milk, Broccoli, Croissant"
393,2,21,255,"Tomato, Cookies, Beef"
394,6,4,188,"Broccoli, Nuts"
395,13,2,169,"Carrot, Milk, Bagel, Spinach"
396,1,10,363,"Chips, Pork, Coffee, Fish, Croissant, Orange"
397,13,38,195,"Butter, Rice, Milk, Pasta, Cheese"
398,9,46,81,"Cereal, Banana, Pork, Yogurt"
399,30,10,428,"Croissant, Coffee, Rice, Spinach, Broccoli, Soda"
400,26,50,236,"Rice, Juice"
401,26,8,465,"Broccoli, Carrot, Oats, Coffee"
402,15,34,315,"Juice, Tea, Yogurt"
403,10,24,277,"Bagel, Cheese, Juice"
404,14,5,400,"Rice, Tomato, Soda, Butter, Broccoli, Crackers"
405,23,24,185,"Yogurt, Carrot, Butter"
406,24,46,98,"Cheese, Grapes, Crackers, Cake"
407,26,43,373,"Rice, Bagel"
408,18,26,165,"Bread, Bagel, Cake, Soda, Tomato, Juice"
409,22,38,24,"Bread, Fish, Tomato, Tea, Butter"
410,23,7,391,"Nuts, Cookies, Pork, Cereal"
411,16,22,427,"Butter, Soda, Nuts, Cheese"
412,5,20,70,"Tea, Butter, Cake, Banana"
413,7,21,123,"Crackers, Banana, Chicken, Cheese"
414,10,9,75,"Chicken, Croissant, Bread"
415,7,11,448,"Pork, Bagel, Yogurt"
416,2,47,365,"Cereal, Cookies, Carrot, Pasta, Orange, Soda"
417,19,28,82,"Apple, Tomato, Grapes, Cookies"
418,24,41,362,"Nuts, Orange, Pasta"
419,18,32,126,"Bagel, Grapes, Rice, Pork"
420,2,42,167,"Croissant, Crackers, Bread, Nuts"
421,24,21,74,"Orange, Rice, Pork, Coffee, Grapes"
422,11,12,117,"Coffee, Carrot, Tomato, Cookies, Chips"
423,2,46,76,"Croissant, Pork"
424,2,36,50,"Tea, Oats, Apple, Juice, Pasta"
425,19,45,227,"Soda, Bagel"
426,16,40,363,"Carrot, Cereal, Cake, Coffee, Cheese"
427,17,23,400,"Butter, Soda, Bread, Coffee, Chicken"
428,30,15,411,"Crackers, Coffee, Beef, Grapes, Tomato"
429,28,43,67,"Cookies, Cake"
430,17,38,49,"Bread, Crackers"
431,6,12,19,"Pork, Rice, Fish, Tomato, Cereal"
432,2,25,406,"Juice, Croissant, Tea"
433,17,20,257,"Nuts, Pasta"
434,3,47,397,"Chips, Rice, Juice, Broccoli, Cake"
435,28,45,230,"Spinach, Oats, Cookies"
436,6,19,31,"Fish, Tomato"
437,3,9,110,"Chicken, Chips, Juice, Tea"
438,20,12,65,"Banana, Fish"
439,3,47,26,"Broccoli, Tomato, Rice, Spinach, Soda, Yogurt"
440,22,1,416,"Tomato, Soda, Bagel, Broccoli"
441,28,45,347,"Rice, Orange, Soda, Tomato, Carrot"
442,8,37,272,"Cake, Pasta, Bagel, Cookies, Coffee, Bread"
443,13,26,313,"Banana, Soda"
444,4,50,40,"Cheese, Apple"
445,29,37,250,"Oats, Butter"
446,19,3,70,"Banana, Tomato, Fish, Rice"
447,8,12,475,"Coffee, Pork, Orange, Tea, Yogurt, Crackers"
448,19,39,139,"Rice, Fish"
449,20,21,32,"Carrot, Croissant, Coffee, Broccoli, Bagel"
450,2,40,43,"Croissant, Orange, Bread, Chips"
451,20,15,164,"Cookies, Broccoli, Pasta"
452,3,41,351,"Bread, Crackers, Cereal, Soda, Butter, Banana"
453,14,37,15,"Chips, Apple"
454,22,7,396,"Cheese, Cereal, Chips, Pasta, Milk, Bagel"
455,19,32,59,"Chicken, Orange, Apple"
456,19,10,410,"Cereal, Tea, Oats, Juice"
457,17,22,73,"Tomato, Coffee, Apple, Croissant, Banana"
458,11,48,481,"Fish, Bread"
459,30,5,318,"Banana, Juice, Cheese, Pork, Carrot"
460,9,16,115,"Chicken, Chips, Tomato, Bagel, Cereal, Juice"
461,7,23,310,"Juice, Spinach, Orange, Tomato, Oats"
462,22,21,471,"Beef, Crackers, Cereal, Tomato, Cake"
463,23,11,112,"Bagel, Tomato, Pork"
464,11,41,104,"Chips, Grapes, Fish, Bagel, Juice"
465,8,6,353,"Chips, Bagel, Crackers, Beef, Coffee"
466,9,46,189,"Oats, Pork, Grapes, Butter, Tomato"
467,13,43,24,"Banana, Pork, Yogurt, Chips"
468,5,41,56,"Chips, Pork, Beef, Rice"
469,22,47,84,"Beef, Carrot, Yogurt, Broccoli, Oats"
470,21,22,443,"Cookies, Cheese, Spinach"
471,10,29,392,"Pork, Orange, Soda, Banana, Bagel"
472,15,1,492,"Cookies, Bread, Spinach, Broccoli, Milk, Nuts"
473,11,17,152,"Chicken, Croissant"
474,30,14,495,"Crackers, Bread, Yogurt, Banana"
475,25,16,306,"Apple, Soda, Beef, Orange"
476,30,45,188,"Soda, Nuts, Cookies, Pork"
477,3,5,190,"Grapes, Milk, Cheese"
478,1,23,92,"Cake, Beef"
479,15,17,447,"Cheese, Soda, Tomato, Spinach, Butter"
480,20,7,266,"Grapes, Cheese, Broccoli"
481,19,47,409,"Chicken, Beef"
482,4,1,383,"Broccoli, Croissant, Bread"
483,3,4,323,"Pork, Butter"
484,18,25,133,"Tea, Cake"
485,7,29,268,"Beef, Cake, Pork, Spinach, Fish, Tea"
486,17,47,301,"Fish, Butter, Spinach, Broccoli"
487,9,27,44,"Apple, Cake, Carrot, Cereal, Chicken"
488,5,11,60,"Fish, Croissant, Orange, Pork"
489,30,27,429,"Broccoli, Grapes, Tea, Crackers, Oats, Carrot"
490,12,32,306,"Chicken, Butter, Oats"
491,29,25,400,"Nuts, Cake, Rice, Orange, Butter"
492,3,23,17,"Orange, Rice, Nuts, Cereal, Cake"
493,29,35,280,"Cookies, Tea, Croissant, Cake"
494,8,25,121,"Soda, Cake, Fish, Grapes, Tomato, Bagel"
495,12,7,376,"Tea, Beef"
